MSOA11CD,b_passengers201906,b_passengers202006,b_passengers202106
E02000001,43690.9,11964.875,33398.25
E02000180,3913.1,1347.625,2538.125
E02000183,3271.1,922.75,1694.75
E02000184,12602.1,3319.625,7771.375
E02000186,18894.7,5888.125,11838.25
E02000187,14283.3,3205.75,8461.625
E02000188,4167.5,2001.75,3872.125
E02000189,2989.3,844.375,1853.375
E02000190,4090.4,845.25,2384.25
E02000191,14058.8,3478.25,8900.5
E02000192,2317.6,743.75,1563.375
E02000193,21317.5,4578.25,13590.375
E02000362,5028.4,1688.375,3709.75
E02000364,3078.4,1249.625,2169.75
E02000365,23510.0,5899.5,16095.375
E02000366,3423.3,1224.625,2447.625
E02000367,11700.9,3075.75,7152.125
E02000368,1759.0,877.25,1365.375
E02000369,5340.3,1419.375,4004.5
E02000370,3422.6,1247.875,2611.375
E02000371,20829.1,4442.25,13846.125
E02000372,4935.0,1823.875,3079.5
E02000375,27706.8,8322.125,18214.0
E02000378,6622.8,1953.875,3979.25
E02000381,1614.6,514.75,915.875
E02000382,2830.4,868.5,1760.25
E02000383,3010.8,755.75,2070.0
E02000384,23903.3,5675.25,13711.625
E02000385,1490.7,332.0,770.125
E02000386,2189.8,602.0,1402.75
E02000387,3934.0,1105.5,2448.5
E02000388,3699.0,1189.125,1887.375
E02000389,3166.1,745.25,1721.75
E02000390,1287.0,451.5,789.5
E02000391,7334.4,1661.375,3844.375
E02000392,7383.0,1856.875,3776.5
E02000393,990.7,367.3333333333333,598.0
E02000394,2178.5,737.0,1497.0
E02000395,9645.4,1743.25,5259.375
E02000396,3100.0,885.0,1759.625
E02000572,3292.3,1098.75,2136.375
E02000573,21185.8,4367.0,13500.5
E02000574,6069.2,1496.125,3869.125
E02000575,8989.3,2668.75,6296.5
E02000576,8992.7,2365.75,5492.625
E02000577,5005.7,1755.0,3644.0
E02000579,4292.2,1190.25,2419.5
E02000580,6105.5,1339.125,3461.0
E02000581,1836.9,763.125,1365.0
E02000582,9430.1,2054.375,5156.0
E02000583,4171.2,1074.75,2373.625
E02000584,15600.7,3075.625,8148.25
E02000585,3936.9,1062.5,2386.375
E02000586,6335.6,996.875,3273.25
E02000587,5388.7,1614.75,3033.0
E02000588,8847.7,1453.25,4857.125
E02000589,868.5,325.8333333333333,506.0
E02000590,10588.6,1640.625,4870.875
E02000591,3807.4,959.625,2012.25
E02000592,3775.5,895.75,2257.75
E02000593,5102.0,1050.625,2564.0
E02000594,10036.5,1600.375,5360.25
E02000595,9431.6,2099.625,5724.0
E02000596,4650.7,1236.5,2537.625
E02000597,3382.8,939.625,2132.5
E02000619,2308.4,912.25,1922.0
E02000620,5373.7,1942.125,4233.5
E02000621,21860.7,5091.75,12362.875
E02000622,10727.9,3174.875,7601.875
E02000623,3151.6,1035.0,2229.625
E02000624,3658.6,1171.875,2682.0
E02000625,6788.5,2236.25,4470.75
E02000628,23848.8,8048.125,20166.75
E02000629,4645.5,1573.375,3124.0
E02000630,9143.0,2864.0,5841.5
E02000633,19147.8,6944.5,16301.875
E02000726,36811.1,13189.75,32307.375
E02000808,14924.0,3213.375,11073.5
E02000809,10127.9,2898.125,8473.75
E02000810,5636.2,1922.5,3583.375
E02000812,5502.5,2283.25,4490.375
E02000813,11626.2,3939.25,8350.375
E02000815,22642.7,6987.875,12976.25
E02000818,10286.2,3340.125,7881.875
E02000820,4218.0,1244.25,4069.125
E02000864,3658.3,1169.125,2840.875
E02000865,3364.6,864.625,2094.75
E02000866,9673.9,3051.375,6879.625
E02000867,3583.7,1253.5,2793.375
E02000868,3615.3,1057.875,2354.875
E02000869,1631.5,307.0,1096.375
E02000870,3084.1,862.5,2242.5
E02000871,4094.3,1372.625,3373.125
E02000872,2854.9,597.875,1950.5
E02000873,2754.8,1039.75,2031.75
E02000874,4591.7,1245.75,2860.5
E02000875,1753.2,367.5,1313.125
E02000876,5430.4,1966.625,4230.25
E02000877,8525.9,2545.5,6441.625
E02000878,7566.7,1822.25,3764.875
E02000879,2092.7,833.875,1644.375
E02000880,3188.2,1266.875,2536.25
E02000881,2197.6,708.125,1552.125
E02000882,1331.9,536.875,997.125
E02000883,2522.5,897.0,1971.125
E02000884,5347.9,1654.0,4260.5
E02000885,2324.2,741.75,1719.0
E02000886,3631.5,1048.625,2578.625
E02000887,3891.8,1307.375,2900.5
E02000888,2077.9,776.625,1394.5
E02000889,1393.3,457.75,1074.875
E02000890,2937.9,565.625,1675.875
E02000891,7834.8,2419.25,5532.125
E02000893,1883.7,455.125,1251.5
E02000894,3001.6,685.0,1988.625
E02000923,6511.6,1392.625,3997.25
E02000924,11412.9,3260.625,8051.5
E02000925,3930.0,1113.25,2479.375
E02000926,4648.6,1085.0,2531.25
E02000927,3702.2,965.0,2603.25
E02000928,2036.1,613.25,1461.625
E02000929,2897.2,895.5,2045.875
E02000930,10469.5,3245.25,6790.0
E02000931,1368.1,472.625,803.5
E02000932,19114.0,3930.0,10458.75
E02000933,2035.2,413.875,1015.875
E02000934,26700.5,5876.75,14292.75
E02000936,1885.7,394.25,1163.25
E02000940,11564.9,2501.625,6852.375
E02000941,1481.1,466.5,1060.125
E02000960,3827.3,1168.5,2106.75
E02000962,5083.8,1273.375,2504.5
E02000966,4240.7,1505.125,2572.5
E02000967,11573.7,3233.625,8371.0
E02000968,9939.6,3129.625,6688.875
E02000969,7465.9,2085.5,4701.625
E02000970,20833.6,4969.625,14027.0
E02000971,10364.2,2797.0,7616.625
E02000972,37170.0,5309.625,23274.375
E02000973,3478.5,1066.125,2179.75
E02000974,13832.0,3549.125,7974.375
E02000975,5020.5,1352.5,3224.875
E02000976,5558.6,1315.0,2656.625
E02000977,54545.8,6571.125,31598.375
E02000978,25260.9,4779.0,12771.25
E02000979,15859.7,2957.75,8839.375
E02000980,3494.5,982.0,3699.75
E02000981,1764.6,449.875,1080.625
E02000982,20165.6,4342.25,13259.875
E02000983,2910.6,901.25,1895.625
E02006801,25911.5,6772.625,19290.25
E02006802,25099.7,7462.625,17529.25
E02006853,930.7,296.75,636.375
E02006854,7466.0,1616.5,4482.25
