MSOA11CD,msoa_name,popn
E02000001,City of London 001,8008.5
E02000002,Barking and Dagenham 001,7809.8
E02000003,Barking and Dagenham 002,11146.36
E02000004,Barking and Dagenham 003,6633.06
E02000005,Barking and Dagenham 004,10338.99
E02000007,Barking and Dagenham 006,10228.11
E02000008,Barking and Dagenham 007,12765.06
E02000009,Barking and Dagenham 008,11713.13
E02000010,Barking and Dagenham 009,9292.53
E02000011,Barking and Dagenham 010,7043.22
E02000012,Barking and Dagenham 011,11390.42
E02000013,Barking and Dagenham 012,9006.64
E02000014,Barking and Dagenham 013,10115.09
E02000015,Barking and Dagenham 014,8146.9
E02000016,Barking and Dagenham 015,10027.18
E02000017,Barking and Dagenham 016,9403.09
E02000018,Barking and Dagenham 017,9900.7
E02000019,Barking and Dagenham 018,9247.39
E02000020,Barking and Dagenham 019,13150.46
E02000021,Barking and Dagenham 020,9069.09
E02000022,Barking and Dagenham 021,8468.8
E02000023,Barking and Dagenham 022,8074.48
E02006799,Barking and Dagenham 023,11191.75
E02000024,Barnet 001,10804.26
E02000025,Barnet 002,8305.9
E02000026,Barnet 003,6507.82
E02000027,Barnet 004,9555.59
E02000028,Barnet 005,6575.05
E02000029,Barnet 006,9186.18
E02000030,Barnet 007,9122.88
E02000031,Barnet 008,7601.97
E02000032,Barnet 009,7728.53
E02000033,Barnet 010,8753.04
E02000034,Barnet 011,9105.98
E02000035,Barnet 012,8854.85
E02000036,Barnet 013,11334.72
E02000037,Barnet 014,10140.72
E02000038,Barnet 015,11319.89
E02000039,Barnet 016,7129.17
E02000040,Barnet 017,8027.56
E02000041,Barnet 018,9761.55
E02000042,Barnet 019,11929.37
E02000043,Barnet 020,8020.89
E02000044,Barnet 021,8680.87
E02000045,Barnet 022,10695.81
E02000046,Barnet 023,7463.89
E02000047,Barnet 024,12130.77
E02000048,Barnet 025,10440.56
E02000049,Barnet 026,9063.33
E02000050,Barnet 027,10699.11
E02000051,Barnet 028,9520.07
E02000052,Barnet 029,10412.7
E02000053,Barnet 030,15334.1
E02000054,Barnet 031,7486.65
E02000055,Barnet 032,11656.41
E02000056,Barnet 033,9166.21
E02000057,Barnet 034,7960.93
E02000058,Barnet 035,10732.39
E02000059,Barnet 036,11456.59
E02000060,Barnet 037,12043.27
E02000061,Barnet 038,8835.42
E02000062,Barnet 039,6687.76
E02000063,Barnet 040,7613.53
E02000064,Barnet 041,6725.83
E02000065,Bexley 001,8828.06
E02000066,Bexley 002,9903.72
E02000067,Bexley 003,10108.69
E02000068,Bexley 004,8027.51
E02000069,Bexley 005,6662.82
E02000070,Bexley 006,7964.18
E02000071,Bexley 007,7546.16
E02000072,Bexley 008,12623.42
E02000073,Bexley 009,10777.97
E02000074,Bexley 010,8399.3
E02000075,Bexley 011,8164.69
E02000077,Bexley 013,8131.82
E02000078,Bexley 014,7811.97
E02000079,Bexley 015,8554.35
E02000080,Bexley 016,10040.54
E02000081,Bexley 017,7932.97
E02000082,Bexley 018,9088.63
E02000083,Bexley 019,11254.3
E02000084,Bexley 020,10890.28
E02000085,Bexley 021,7895.2
E02000086,Bexley 022,7218.49
E02000087,Bexley 023,7962.92
E02000088,Bexley 024,7696.1
E02000089,Bexley 025,7802.64
E02000090,Bexley 026,9425.1
E02000091,Bexley 027,9846.76
E02000092,Bexley 028,6692.34
E02006785,Bexley 029,6580.47
E02000093,Brent 001,11125.81
E02000094,Brent 002,9181.19
E02000095,Brent 003,9979.62
E02000096,Brent 004,7459.07
E02000097,Brent 005,9091.22
E02000098,Brent 006,8428.6
E02000099,Brent 007,8923.8
E02000100,Brent 008,8804.44
E02000101,Brent 009,9596.43
E02000102,Brent 010,7521.58
E02000103,Brent 011,9212.84
E02000104,Brent 012,7270.6
E02000105,Brent 013,9710.22
E02000106,Brent 014,10635.07
E02000107,Brent 015,11516.53
E02000108,Brent 016,6653.27
E02000109,Brent 017,12857.67
E02000110,Brent 018,8606.9
E02000111,Brent 019,10784.19
E02000112,Brent 020,10485.52
E02000113,Brent 021,9816.05
E02000114,Brent 022,10137.39
E02000115,Brent 023,8798.41
E02000116,Brent 024,9370.07
E02000117,Brent 025,13018.89
E02000118,Brent 026,10336.85
E02000119,Brent 027,8996.56
E02000120,Brent 028,9198.89
E02000121,Brent 029,10745.5
E02000122,Brent 030,7812.63
E02000123,Brent 031,15892.52
E02000124,Brent 032,10109.4
E02000125,Brent 033,10429.16
E02000126,Brent 034,7913.11
E02000127,Bromley 001,9254.52
E02000128,Bromley 002,7664.49
E02000130,Bromley 004,8481.95
E02000131,Bromley 005,10382.64
E02000132,Bromley 006,10051.85
E02000133,Bromley 007,10434.72
E02000134,Bromley 008,11747.66
E02000135,Bromley 009,10345.86
E02000136,Bromley 010,5654.96
E02000137,Bromley 011,8362.09
E02000138,Bromley 012,8474.19
E02000139,Bromley 013,7723.21
E02000140,Bromley 014,8547.2
E02000141,Bromley 015,7315.46
E02000142,Bromley 016,8679.28
E02000144,Bromley 018,9710.54
E02000145,Bromley 019,8964.29
E02000146,Bromley 020,9357.88
E02000147,Bromley 021,8141.15
E02000148,Bromley 022,6623.01
E02000149,Bromley 023,7958.38
E02000150,Bromley 024,8501.59
E02000151,Bromley 025,7522.93
E02000152,Bromley 026,7760.29
E02000153,Bromley 027,7758.77
E02000154,Bromley 028,8368.17
E02000155,Bromley 029,6869.84
E02000156,Bromley 030,12026.95
E02000157,Bromley 031,8113.04
E02000158,Bromley 032,7671.7
E02000159,Bromley 033,6845.98
E02000160,Bromley 034,7891.79
E02000161,Bromley 035,8645.74
E02000162,Bromley 036,6869.54
E02000163,Bromley 037,7632.28
E02000165,Bromley 039,6856.9
E02006782,Bromley 040,7819.3
E02006787,Bromley 041,7960.33
E02006789,Bromley 042,6324.68
E02000166,Camden 001,8672.95
E02000167,Camden 002,8978.6
E02000168,Camden 003,9115.87
E02000169,Camden 004,8675.77
E02000170,Camden 005,9272.79
E02000171,Camden 006,9040.3
E02000172,Camden 007,11491.41
E02000173,Camden 008,9447.19
E02000174,Camden 009,9815.45
E02000175,Camden 010,10880.49
E02000176,Camden 011,7362.39
E02000177,Camden 012,9974.71
E02000178,Camden 013,10019.4
E02000179,Camden 014,7191.99
E02000180,Camden 015,9373.87
E02000181,Camden 016,8772.87
E02000182,Camden 017,8254.69
E02000183,Camden 018,8251.37
E02000184,Camden 019,9855.06
E02000185,Camden 020,9478.95
E02000186,Camden 021,7906.78
E02000187,Camden 022,10503.73
E02000188,Camden 023,8436.22
E02000189,Camden 024,6758.06
E02000190,Camden 025,8233.7
E02000191,Camden 026,8463.56
E02000192,Camden 027,8455.89
E02000193,Camden 028,8370.39
E02000194,Croydon 001,9314.93
E02000195,Croydon 002,9729.08
E02000196,Croydon 003,7996.4
E02000197,Croydon 004,9482.04
E02000198,Croydon 005,8626.13
E02000199,Croydon 006,8314.33
E02000200,Croydon 007,8746.95
E02000201,Croydon 008,9131.78
E02000202,Croydon 009,8387.54
E02000203,Croydon 010,7842.0
E02000204,Croydon 011,9498.31
E02000206,Croydon 013,10075.17
E02000207,Croydon 014,9042.97
E02000208,Croydon 015,10741.67
E02000209,Croydon 016,8720.09
E02000210,Croydon 017,8410.14
E02000211,Croydon 018,8020.06
E02000212,Croydon 019,9173.43
E02000213,Croydon 020,10963.78
E02000214,Croydon 021,6183.62
E02000215,Croydon 022,11201.69
E02000216,Croydon 023,6869.15
E02000217,Croydon 024,12044.43
E02000218,Croydon 025,6695.47
E02000219,Croydon 026,7475.54
E02000220,Croydon 027,12605.86
E02000221,Croydon 028,10694.34
E02000222,Croydon 029,8233.64
E02000223,Croydon 030,8494.26
E02000224,Croydon 031,7923.03
E02000225,Croydon 032,7511.63
E02000226,Croydon 033,7448.65
E02000227,Croydon 034,11368.6
E02000228,Croydon 035,7694.77
E02000229,Croydon 036,6699.05
E02000230,Croydon 037,10430.5
E02000231,Croydon 038,7560.88
E02000232,Croydon 039,6235.65
E02000233,Croydon 040,6446.44
E02000234,Croydon 041,8653.02
E02000235,Croydon 042,7020.54
E02000236,Croydon 043,7922.05
E02000237,Croydon 044,7608.5
E02006788,Croydon 045,7589.13
E02000238,Ealing 001,9475.22
E02000239,Ealing 002,8868.8
E02000240,Ealing 003,10223.59
E02000241,Ealing 004,6724.46
E02000242,Ealing 005,6901.06
E02000243,Ealing 006,8513.75
E02000244,Ealing 007,7534.56
E02000245,Ealing 008,8486.71
E02000246,Ealing 009,8743.28
E02000247,Ealing 010,10568.99
E02000248,Ealing 011,7703.62
E02000249,Ealing 012,7521.21
E02000250,Ealing 013,6333.24
E02000251,Ealing 014,7521.75
E02000252,Ealing 015,11466.83
E02000253,Ealing 016,9380.14
E02000254,Ealing 017,8451.49
E02000255,Ealing 018,9337.08
E02000256,Ealing 019,8713.79
E02000257,Ealing 020,14489.65
E02000258,Ealing 021,7004.59
E02000259,Ealing 022,6092.7
E02000260,Ealing 023,9385.22
E02000261,Ealing 024,11894.96
E02000262,Ealing 025,8946.34
E02000263,Ealing 026,11964.26
E02000264,Ealing 027,8468.3
E02000265,Ealing 028,10719.71
E02000266,Ealing 029,11538.39
E02000267,Ealing 030,7335.03
E02000268,Ealing 031,8981.71
E02000269,Ealing 032,8050.49
E02000270,Ealing 033,7818.17
E02000271,Ealing 034,6923.15
E02000272,Ealing 035,6500.55
E02000274,Ealing 037,14245.99
E02000275,Ealing 038,7510.27
E02000276,Ealing 039,6555.89
E02006791,Ealing 040,6874.05
E02000277,Enfield 001,7617.29
E02000278,Enfield 002,9788.26
E02000279,Enfield 003,12981.75
E02000280,Enfield 004,8496.45
E02000281,Enfield 005,9261.76
E02000282,Enfield 006,9999.32
E02000283,Enfield 007,8801.49
E02000284,Enfield 008,8619.79
E02000285,Enfield 009,6414.24
E02000286,Enfield 010,8483.64
E02000287,Enfield 011,7133.15
E02000288,Enfield 012,11284.31
E02000289,Enfield 013,6580.25
E02000290,Enfield 014,6912.85
E02000291,Enfield 015,10202.54
E02000292,Enfield 016,9782.24
E02000293,Enfield 017,6450.88
E02000294,Enfield 018,9382.71
E02000295,Enfield 019,9012.68
E02000296,Enfield 020,10401.82
E02000297,Enfield 021,9587.41
E02000298,Enfield 022,8035.57
E02000299,Enfield 023,10003.17
E02000300,Enfield 024,8989.95
E02000301,Enfield 025,10975.88
E02000302,Enfield 026,8563.26
E02000303,Enfield 027,9114.04
E02000304,Enfield 028,8186.7
E02000305,Enfield 029,8908.02
E02000306,Enfield 030,9160.86
E02000307,Enfield 031,10108.78
E02000308,Enfield 032,8360.92
E02000309,Enfield 033,12290.74
E02000311,Enfield 035,10770.65
E02000312,Enfield 036,11557.43
E02006793,Enfield 037,10178.19
E02000313,Greenwich 001,7410.2
E02000314,Greenwich 002,15810.61
E02000315,Greenwich 003,9520.46
E02000316,Greenwich 004,14343.08
E02000317,Greenwich 005,8429.11
E02000318,Greenwich 006,10330.2
E02000319,Greenwich 007,11700.61
E02000320,Greenwich 008,7184.44
E02000321,Greenwich 009,7589.42
E02000323,Greenwich 011,11138.9
E02000324,Greenwich 012,7874.76
E02000326,Greenwich 014,7342.83
E02000327,Greenwich 015,7019.29
E02000328,Greenwich 016,6766.12
E02000329,Greenwich 017,6226.47
E02000331,Greenwich 019,8116.33
E02000332,Greenwich 020,7621.86
E02000333,Greenwich 021,6474.38
E02000334,Greenwich 022,6518.87
E02000335,Greenwich 023,6780.79
E02000337,Greenwich 025,8200.49
E02000339,Greenwich 027,6236.77
E02000340,Greenwich 028,6445.56
E02000341,Greenwich 029,8048.66
E02000342,Greenwich 030,6093.91
E02000343,Greenwich 031,6799.1
E02000344,Greenwich 032,6461.68
E02006786,Greenwich 033,7402.18
E02006927,Greenwich 034,9995.32
E02006928,Greenwich 035,11625.14
E02006929,Greenwich 036,11960.67
E02006930,Greenwich 037,8791.3
E02006931,Greenwich 038,9592.38
E02000345,Hackney 001,9517.38
E02000346,Hackney 002,7770.63
E02000347,Hackney 003,8694.52
E02000348,Hackney 004,8891.78
E02000350,Hackney 006,9924.75
E02000351,Hackney 007,9613.94
E02000352,Hackney 008,7209.29
E02000353,Hackney 009,8129.25
E02000354,Hackney 010,10609.32
E02000355,Hackney 011,9206.94
E02000356,Hackney 012,7378.24
E02000357,Hackney 013,6577.8
E02000358,Hackney 014,11805.07
E02000359,Hackney 015,6687.29
E02000360,Hackney 016,11945.78
E02000361,Hackney 017,8899.46
E02000362,Hackney 018,7367.69
E02000363,Hackney 019,11923.03
E02000364,Hackney 020,10240.45
E02000365,Hackney 021,15349.97
E02000366,Hackney 022,9201.59
E02000367,Hackney 023,11499.45
E02000368,Hackney 024,10537.3
E02000369,Hackney 025,14281.6
E02000370,Hackney 026,9876.51
E02000371,Hackney 027,16084.65
E02006918,Hackney 028,9189.83
E02006921,Hackney 029,8477.94
E02000372,Hammersmith and Fulham 001,9781.7
E02000373,Hammersmith and Fulham 002,6648.99
E02000374,Hammersmith and Fulham 003,6738.97
E02000375,Hammersmith and Fulham 004,6924.71
E02000376,Hammersmith and Fulham 005,6845.63
E02000377,Hammersmith and Fulham 006,8156.49
E02000378,Hammersmith and Fulham 007,6470.61
E02000379,Hammersmith and Fulham 008,7758.3
E02000380,Hammersmith and Fulham 009,5769.93
E02000381,Hammersmith and Fulham 010,7877.0
E02000382,Hammersmith and Fulham 011,5855.02
E02000383,Hammersmith and Fulham 012,8898.69
E02000384,Hammersmith and Fulham 013,7285.27
E02000385,Hammersmith and Fulham 014,5991.09
E02000386,Hammersmith and Fulham 015,8025.75
E02000387,Hammersmith and Fulham 016,5975.08
E02000388,Hammersmith and Fulham 017,8615.13
E02000389,Hammersmith and Fulham 018,8326.22
E02000390,Hammersmith and Fulham 019,6321.99
E02000391,Hammersmith and Fulham 020,7895.23
E02000392,Hammersmith and Fulham 021,9404.92
E02000393,Hammersmith and Fulham 022,5829.12
E02000394,Hammersmith and Fulham 023,9076.23
E02000395,Hammersmith and Fulham 024,6117.62
E02000396,Hammersmith and Fulham 025,6957.89
E02000397,Haringey 001,8458.11
E02000398,Haringey 002,7737.18
E02000400,Haringey 004,8027.64
E02000401,Haringey 005,6589.59
E02000402,Haringey 006,6645.66
E02000403,Haringey 007,8106.05
E02000404,Haringey 008,7747.33
E02000405,Haringey 009,6389.07
E02000406,Haringey 010,7115.3
E02000407,Haringey 011,7553.53
E02000408,Haringey 012,8296.34
E02000409,Haringey 013,6303.2
E02000410,Haringey 014,6603.42
E02000411,Haringey 015,10497.57
E02000412,Haringey 016,7736.79
E02000413,Haringey 017,7500.36
E02000414,Haringey 018,7024.61
E02000415,Haringey 019,7137.99
E02000416,Haringey 020,7906.47
E02000417,Haringey 021,6485.21
E02000418,Haringey 022,5350.72
E02000419,Haringey 023,8840.49
E02000420,Haringey 024,8122.38
E02000421,Haringey 025,8141.91
E02000422,Haringey 026,8334.19
E02000423,Haringey 027,7355.2
E02000424,Haringey 028,6784.55
E02000425,Haringey 029,7656.06
E02000426,Haringey 030,6073.55
E02000427,Haringey 031,6894.98
E02000428,Haringey 032,8065.55
E02000429,Haringey 033,6963.53
E02000430,Haringey 034,7144.44
E02000431,Haringey 035,6146.35
E02000432,Haringey 036,6269.81
E02006794,Haringey 037,8435.37
E02000433,Harrow 001,8245.51
E02000434,Harrow 002,9596.73
E02000435,Harrow 003,7820.14
E02000436,Harrow 004,5555.77
E02000437,Harrow 005,8546.63
E02000438,Harrow 006,7834.05
E02000439,Harrow 007,9043.72
E02000440,Harrow 008,9536.08
E02000441,Harrow 009,7105.03
E02000442,Harrow 010,9071.31
E02000443,Harrow 011,10229.98
E02000444,Harrow 012,8844.68
E02000445,Harrow 013,11079.56
E02000447,Harrow 015,7146.49
E02000448,Harrow 016,7012.26
E02000449,Harrow 017,8276.47
E02000451,Harrow 019,6640.3
E02000452,Harrow 020,8562.22
E02000453,Harrow 021,8188.82
E02000454,Harrow 022,7071.96
E02000455,Harrow 023,9483.02
E02000456,Harrow 024,7264.44
E02000457,Harrow 025,6602.76
E02000459,Harrow 027,9204.21
E02000460,Harrow 028,6774.37
E02000461,Harrow 029,7450.46
E02000462,Harrow 030,6788.67
E02000463,Harrow 031,8318.6
E02006795,Harrow 032,8016.68
E02006882,Harrow 033,14183.04
E02000464,Havering 001,7636.19
E02000465,Havering 002,9256.57
E02000466,Havering 003,8824.65
E02000467,Havering 004,11113.49
E02000468,Havering 005,8264.53
E02000469,Havering 006,7230.52
E02000470,Havering 007,9059.65
E02000471,Havering 008,7519.83
E02000472,Havering 009,9133.23
E02000473,Havering 010,10308.0
E02000474,Havering 011,9067.6
E02000475,Havering 012,9852.95
E02000476,Havering 013,10146.04
E02000477,Havering 014,9482.44
E02000478,Havering 015,5812.29
E02000479,Havering 016,9370.5
E02000480,Havering 017,12596.16
E02000481,Havering 018,7986.0
E02000482,Havering 019,6463.76
E02000483,Havering 020,7922.47
E02000484,Havering 021,8290.5
E02000485,Havering 022,8562.05
E02000486,Havering 023,7497.26
E02000487,Havering 024,7699.68
E02000488,Havering 025,7232.12
E02000489,Havering 026,8542.66
E02000490,Havering 027,7951.98
E02000491,Havering 028,9751.21
E02000492,Havering 029,6461.42
E02000493,Havering 030,6767.89
E02000494,Hillingdon 001,7600.35
E02000495,Hillingdon 002,10271.43
E02000496,Hillingdon 003,7473.03
E02000497,Hillingdon 004,9156.42
E02000498,Hillingdon 005,6073.47
E02000499,Hillingdon 006,7540.64
E02000500,Hillingdon 007,8185.95
E02000501,Hillingdon 008,8288.67
E02000502,Hillingdon 009,8432.64
E02000503,Hillingdon 010,8992.66
E02000504,Hillingdon 011,7374.79
E02000506,Hillingdon 013,7793.01
E02000507,Hillingdon 014,8113.86
E02000508,Hillingdon 015,11538.14
E02000509,Hillingdon 016,11996.9
