msoa11,total,office,retail,leisure,industrial,other,ret_restaurants,ret_hs,ret_superstores
E02000001,22668,17640,3894,155,28,951,575,3243,6
E02000180,170,33,75,5,29,28,13,57,3
E02000183,469,247,157,4,26,35,39,117,1
E02000184,563,276,141,2,81,63,32,102,4
E02000186,1225,639,429,23,24,110,103,307,6
E02000187,858,478,278,9,26,67,55,216,5
E02000188,413,215,124,1,18,55,39,81,1
E02000189,552,291,111,35,69,46,36,68,0
E02000190,659,404,171,32,6,46,36,128,2
E02000191,1928,1248,477,42,9,152,133,314,18
E02000192,2979,2222,451,12,191,103,75,361,10
E02000193,4951,3589,1048,47,19,248,236,784,5
E02000362,452,200,68,9,139,36,18,50,0
E02000364,362,105,204,3,19,31,12,188,2
E02000365,945,313,390,12,180,50,47,328,5
E02000366,135,10,99,1,6,19,18,80,0
E02000367,1090,541,264,8,226,51,38,213,9
E02000368,178,71,59,3,21,24,7,47,3
E02000369,576,260,167,5,106,38,21,141,0
E02000370,367,239,54,6,41,27,10,43,0
E02000371,3970,2947,646,26,182,169,187,436,17
E02000372,665,353,87,4,157,64,14,71,0
E02000375,778,71,545,12,74,76,51,476,18
E02000378,263,112,110,8,7,26,16,87,4
E02000381,369,213,107,10,5,34,24,82,1
E02000382,303,89,126,5,47,36,39,84,2
E02000383,505,319,136,7,7,36,30,103,1
E02000384,1680,1222,303,9,51,95,69,221,5
E02000385,95,17,59,3,1,15,9,50,0
E02000386,169,30,103,3,7,26,22,78,3
E02000387,107,39,37,3,1,27,3,34,0
E02000388,323,44,222,7,18,32,30,183,4
E02000389,203,76,107,1,4,15,23,83,0
E02000390,238,70,130,1,14,23,9,120,0
E02000391,380,108,186,6,43,37,29,153,4
E02000392,598,232,276,3,50,37,44,227,2
E02000393,77,5,65,0,0,7,1,64,0
E02000394,408,226,161,1,8,12,10,132,19
E02000395,538,303,159,3,47,26,24,129,6
E02000396,373,179,102,5,50,37,11,88,3
E02000572,204,53,91,2,8,50,13,74,2
E02000573,1285,596,562,16,42,69,108,327,116
E02000574,814,433,306,9,11,55,65,237,3
E02000575,3336,2524,541,19,79,173,149,356,29
E02000576,2257,1728,330,18,23,158,75,236,11
E02000577,870,423,187,7,208,45,27,158,2
E02000579,209,70,35,4,79,21,4,31,0
E02000580,708,100,536,4,28,40,48,482,3
E02000581,239,155,35,3,17,29,8,23,1
E02000582,411,66,280,12,4,49,37,239,0
E02000583,279,47,186,3,8,35,26,155,4
E02000584,785,380,323,10,15,57,50,265,3
E02000585,153,53,36,16,7,41,7,28,1
E02000586,406,135,169,22,6,74,42,116,7
E02000587,475,221,183,8,8,55,30,143,4
E02000588,918,359,441,15,8,95,60,370,4
E02000589,291,60,134,40,12,45,31,93,4
E02000590,595,221,299,9,7,59,44,248,5
E02000591,159,35,60,33,2,29,16,41,2
E02000592,451,167,200,15,2,67,43,146,5
E02000593,169,24,91,17,2,35,23,67,0
E02000594,382,116,200,8,3,55,24,171,3
E02000595,390,105,233,4,2,46,39,185,6
E02000596,269,87,144,2,4,32,36,107,1
E02000597,453,242,124,5,51,31,16,103,4
E02000619,400,245,77,3,22,53,9,66,0
E02000620,700,417,163,10,37,73,25,133,3
E02000621,608,297,189,9,54,59,22,164,1
E02000622,391,210,124,5,19,33,12,110,1
E02000623,78,14,34,3,12,15,13,19,0
E02000624,122,34,59,3,8,18,5,51,0
E02000625,238,52,117,2,34,33,9,103,2
E02000628,816,105,578,5,72,56,39,530,4
E02000629,301,92,137,6,46,20,22,111,1
E02000630,324,135,114,3,35,37,17,92,2
E02000633,374,176,145,5,13,35,18,115,7
E02000726,930,233,452,26,136,83,50,385,14
E02000808,3321,2468,544,28,145,136,166,367,3
E02000809,1510,978,324,16,113,79,88,223,8
E02000810,755,218,143,6,336,52,13,125,0
E02000812,813,433,246,3,57,74,50,190,1
E02000813,326,96,169,5,12,44,19,144,4
E02000815,389,126,184,9,22,48,21,157,1
E02000818,292,67,174,3,14,34,21,147,2
E02000820,283,68,85,3,99,28,12,73,0
E02000864,575,148,139,6,253,29,17,116,2
E02000865,498,223,124,7,105,39,17,95,10
E02000866,242,8,186,3,7,38,25,159,0
E02000867,656,335,53,2,230,36,9,41,0
E02000868,539,254,101,2,144,38,18,77,2
E02000869,344,70,165,2,87,20,17,144,2
E02000870,199,41,117,3,12,26,14,102,0
E02000871,218,67,46,3,64,38,5,40,0
E02000872,539,119,315,10,55,40,35,271,7
E02000873,192,48,97,1,9,37,11,81,0
E02000874,336,163,76,4,54,39,12,61,2
E02000875,236,63,62,6,83,22,3,56,1
E02000876,602,202,270,10,76,44,27,230,7
E02000877,299,63,117,2,58,59,14,101,0
E02000878,2524,1518,772,12,103,119,141,608,13
E02000879,192,40,79,0,42,31,14,60,4
E02000880,369,152,123,3,50,41,10,98,11
E02000881,271,99,49,1,85,37,5,44,0
E02000882,132,11,76,3,15,27,11,63,2
E02000883,252,56,157,3,0,36,19,133,1
E02000884,1839,1119,473,18,129,100,64,352,55
E02000885,282,46,174,2,28,32,9,158,6
E02000886,222,55,81,5,46,35,12,68,0
E02000887,174,41,49,6,20,58,8,36,3
E02000888,549,107,97,12,290,43,12,83,0
E02000889,416,207,76,39,38,56,15,57,3
E02000890,581,375,111,9,11,75,38,72,1
E02000891,1421,813,131,17,55,405,33,94,3
E02000893,74,10,35,0,2,27,6,28,0
E02000894,121,72,19,5,5,20,4,14,0
E02000923,233,111,76,4,9,33,18,54,1
E02000924,1269,431,236,11,523,68,39,185,8
E02000925,133,34,80,1,0,18,11,67,1
E02000926,466,220,153,10,41,42,34,102,14
E02000927,332,46,134,0,136,16,23,107,3
E02000928,236,61,126,15,8,26,26,99,1
E02000929,71,6,45,2,3,15,3,40,1
E02000930,443,72,303,3,13,52,59,234,5
E02000931,77,8,52,2,4,11,7,45,0
E02000932,992,352,455,17,79,89,85,336,15
E02000933,143,42,71,2,3,25,9,60,0
E02000934,336,62,206,7,7,54,35,159,4
E02000936,127,86,19,1,2,19,4,10,3
E02000940,456,164,209,8,28,47,31,159,8
E02000941,100,11,48,0,26,15,3,42,2
E02000960,212,45,129,5,2,31,16,108,1
E02000962,100,30,32,1,3,34,2,28,1
E02000966,177,29,115,2,3,28,23,87,1
E02000967,857,509,255,18,2,73,42,204,1
E02000968,474,84,301,8,13,68,35,256,4
E02000969,282,168,65,2,5,42,9,55,0
E02000970,4193,2657,812,22,10,692,151,598,43
E02000971,1327,828,354,27,13,105,61,285,4
E02000972,11115,7847,2666,76,108,418,585,1665,376
E02000973,254,53,161,11,3,26,41,116,2
E02000974,1179,634,378,82,13,72,77,287,0
E02000975,1206,945,168,58,3,32,45,117,0
E02000976,556,123,316,56,12,49,69,235,5
E02000977,10035,7059,2417,111,26,422,599,1733,41
E02000978,1269,893,245,13,16,102,47,189,6
E02000979,2773,2136,459,18,9,151,116,327,2
E02000980,267,121,88,6,2,50,15,70,1
E02000981,612,293,215,62,1,41,36,172,3
E02000982,1267,749,403,23,10,82,61,335,3
E02000983,129,36,58,1,2,32,7,50,0
E02006801,1035,460,372,16,55,132,107,253,4
E02006802,639,412,114,6,23,84,28,82,0
E02006853,559,362,83,6,8,100,6,76,0
E02006854,2484,1553,577,18,68,268,109,453,5
