MSOA11CD,bus_stops_density
E02000001,109
E02000002,20
E02000003,18
E02000004,14
E02000005,11
E02000007,19
E02000008,22
E02000009,15
E02000010,9
E02000011,15
E02000012,12
E02000013,13
E02000014,18
E02000015,19
E02000016,19
E02000017,8
E02000018,17
E02000019,24
E02000020,43
E02000021,18
E02000022,11
E02000023,25
E02000024,48
E02000025,23
E02000026,15
E02000027,36
E02000028,18
E02000029,19
E02000030,52
E02000031,29
E02000032,15
E02000033,25
E02000034,15
E02000035,16
E02000036,19
E02000037,23
E02000038,27
E02000039,34
E02000040,39
E02000041,29
E02000042,25
E02000043,12
E02000044,18
E02000045,23
E02000046,20
E02000047,21
E02000048,18
E02000049,15
E02000050,27
E02000051,30
E02000052,13
E02000053,34
E02000054,18
E02000055,27
E02000056,94
E02000057,16
E02000058,50
E02000059,15
E02000060,17
E02000061,33
E02000062,40
E02000063,16
E02000064,19
E02000065,13
E02000066,28
E02000067,25
E02000068,36
E02000069,31
E02000070,29
E02000071,14
E02000072,31
E02000073,32
E02000074,14
E02000075,23
E02000077,13
E02000078,20
E02000079,27
E02000080,27
E02000081,29
E02000082,22
E02000083,36
E02000084,35
E02000085,22
E02000086,13
E02000087,29
E02000088,21
E02000089,11
E02000090,33
E02000091,39
E02000092,30
E02000093,14
E02000094,18
E02000095,25
E02000096,13
E02000097,11
E02000098,18
E02000099,15
E02000100,18
E02000101,19
E02000102,8
E02000103,29
E02000104,19
E02000105,19
E02000106,27
E02000107,17
E02000108,5
E02000109,24
E02000110,10
E02000111,21
E02000112,22
E02000113,31
E02000114,13
E02000115,14
E02000116,24
E02000117,16
E02000118,10
E02000119,45
E02000120,10
E02000121,19
E02000122,16
E02000123,22
E02000124,22
E02000125,12
E02000126,12
E02000127,18
E02000128,24
E02000130,22
E02000131,35
E02000132,44
E02000133,28
E02000134,31
E02000135,18
E02000136,37
E02000137,38
E02000138,26
E02000139,20
E02000140,27
E02000141,23
E02000142,22
E02000144,38
E02000145,30
E02000146,18
E02000147,35
E02000148,31
E02000149,56
E02000150,31
E02000151,19
E02000152,30
E02000153,25
E02000154,29
E02000155,37
E02000156,28
E02000157,30
E02000158,28
E02000159,42
E02000160,42
E02000161,40
E02000162,69
E02000163,49
E02000165,25
E02000166,26
E02000167,17
E02000168,19
E02000169,7
E02000170,20
E02000171,12
E02000172,8
E02000173,22
E02000174,9
E02000175,15
E02000176,9
E02000177,20
E02000178,10
E02000179,12
E02000180,19
E02000181,8
E02000182,15
E02000183,10
E02000184,20
E02000185,17
E02000186,32
E02000187,15
E02000188,13
E02000189,10
E02000190,4
E02000191,15
E02000192,12
E02000193,41
E02000194,32
E02000195,20
E02000196,15
E02000197,10
E02000198,19
E02000199,5
E02000200,27
E02000201,13
E02000202,9
E02000203,21
E02000204,17
E02000206,19
E02000207,25
E02000208,12
E02000209,21
E02000210,9
E02000211,20
E02000212,20
E02000213,33
E02000214,16
E02000215,28
E02000216,18
E02000217,25
E02000218,21
E02000219,41
E02000220,49
E02000221,39
E02000222,20
E02000223,18
E02000224,15
E02000225,29
E02000226,32
E02000227,54
E02000228,33
E02000229,27
E02000230,38
E02000231,40
E02000232,17
E02000233,21
E02000234,55
E02000235,28
E02000236,41
E02000237,55
E02000238,20
E02000239,13
E02000240,27
E02000241,28
E02000242,8
E02000243,20
E02000244,19
E02000245,9
E02000246,17
E02000247,26
E02000248,31
E02000249,23
E02000250,12
E02000251,9
E02000252,68
E02000253,30
E02000254,16
E02000255,23
E02000256,25
E02000257,34
E02000258,19
E02000259,14
E02000260,26
E02000261,27
E02000262,8
E02000263,5
E02000264,18
E02000265,18
E02000266,40
E02000267,10
E02000268,10
E02000269,9
E02000270,18
E02000271,11
E02000272,8
E02000274,11
E02000275,12
E02000276,9
E02000277,13
E02000278,12
E02000279,18
E02000280,32
E02000281,15
E02000282,20
E02000283,14
E02000284,27
E02000285,17
E02000286,21
E02000287,43
E02000288,30
E02000289,25
E02000290,22
E02000291,50
E02000292,30
E02000293,15
E02000294,15
E02000295,21
E02000296,33
E02000297,29
E02000298,15
E02000299,12
E02000300,10
E02000301,22
E02000302,14
E02000303,15
E02000304,13
E02000305,11
E02000306,25
E02000307,12
E02000308,22
E02000309,17
E02000311,26
E02000312,24
E02000313,7
E02000314,49
E02000315,24
E02000316,34
E02000317,16
E02000318,17
E02000319,26
E02000320,26
E02000321,10
E02000323,20
E02000324,11
E02000326,15
E02000327,30
E02000328,16
E02000329,18
E02000331,21
E02000332,18
E02000333,22
E02000334,18
E02000335,15
E02000337,25
E02000339,21
E02000340,39
E02000341,29
E02000342,13
E02000343,11
E02000344,21
E02000345,14
E02000346,21
E02000347,6
E02000348,8
E02000350,9
E02000351,10
E02000352,12
E02000353,14
E02000354,18
E02000355,17
E02000356,11
E02000357,12
E02000358,13
E02000359,8
E02000360,18
E02000361,25
E02000362,34
E02000363,18
E02000364,17
E02000365,29
E02000366,16
E02000367,20
E02000368,15
E02000369,12
E02000370,16
E02000371,43
E02000372,40
E02000373,7
E02000374,11
E02000375,23
E02000376,10
E02000377,13
E02000378,5
E02000379,10
E02000380,5
E02000381,3
E02000382,15
E02000383,10
E02000384,27
E02000385,3
E02000386,7
E02000387,7
E02000388,10
E02000389,7
E02000390,5
E02000391,22
E02000392,10
E02000393,5
E02000394,14
E02000395,14
E02000396,11
E02000397,4
E02000398,13
E02000400,18
E02000401,14
E02000402,16
E02000403,16
E02000404,12
E02000405,22
E02000406,6
E02000407,16
E02000408,13
E02000409,8
E02000410,11
E02000411,28
E02000412,18
E02000413,9
E02000414,8
E02000415,16
E02000416,8
E02000417,22
E02000418,7
E02000419,12
E02000420,14
E02000421,17
E02000422,12
E02000423,11
E02000424,14
E02000425,9
E02000426,30
E02000427,12
E02000428,9
E02000429,15
E02000430,18
E02000431,12
E02000432,7
E02000433,37
E02000434,13
E02000435,9
E02000436,12
E02000437,18
E02000438,23
E02000439,11
E02000440,23
E02000441,20
E02000442,16
E02000443,6
E02000444,18
E02000445,20
E02000447,19
E02000448,14
E02000449,6
E02000451,14
E02000452,11
E02000453,12
E02000454,17
E02000455,27
E02000456,11
E02000457,8
E02000459,15
E02000460,14
E02000461,21
E02000462,11
E02000463,4
E02000464,26
E02000465,39
E02000466,37
E02000467,25
E02000468,21
E02000469,22
E02000470,44
E02000471,16
E02000472,16
E02000473,18
E02000474,23
E02000475,26
E02000476,39
E02000477,20
E02000478,16
E02000479,22
E02000480,42
E02000481,25
E02000482,31
E02000483,25
E02000484,10
E02000485,22
E02000486,11
E02000487,20
E02000488,14
E02000489,18
E02000490,16
E02000491,41
E02000492,20
E02000493,19
E02000494,26
E02000495,33
E02000496,37
E02000497,24
E02000498,27
E02000499,17
E02000500,26
E02000501,11
E02000502,14
E02000503,10
E02000504,16
E02000506,26
E02000507,18
E02000508,38
E02000509,16
E02000510,28
E02000511,23
E02000512,19
E02000513,16
E02000514,11
E02000515,24
E02000516,9
E02000517,24
E02000518,25
E02000519,22
E02000520,36
E02000521,24
E02000522,20
E02000523,44
E02000524,66
E02000525,25
E02000526,19
E02000528,34
E02000529,8
E02000530,30
E02000531,34
E02000532,20
E02000533,5
E02000534,36
E02000535,23
E02000536,30
E02000537,16
E02000538,20
E02000539,38
E02000540,26
E02000541,19
E02000542,23
E02000543,32
E02000544,17
E02000545,20
E02000546,18
E02000547,32
E02000548,33
E02000549,34
E02000550,14
E02000551,31
E02000552,22
E02000553,27
E02000554,16
E02000555,10
E02000556,11
E02000557,28
E02000558,11
E02000559,6
E02000560,9
E02000561,8
E02000562,14
E02000563,16
E02000564,17
E02000565,14
E02000566,10
E02000567,20
E02000568,20
E02000569,16
E02000570,9
E02000571,10
E02000572,15
E02000573,18
E02000574,17
E02000575,37
E02000576,19
E02000577,16
E02000578,11
E02000579,11
E02000580,9
E02000581,7
E02000582,14
E02000583,11
E02000584,15
E02000585,15
E02000586,13
E02000587,10
E02000588,15
E02000589,4
E02000590,17
E02000591,9
E02000592,20
E02000593,13
E02000594,18
E02000595,22
E02000596,10
E02000597,12
E02000598,25
E02000599,33
E02000600,19
E02000601,10
E02000602,21
E02000603,17
E02000604,14
E02000605,12
E02000606,56
E02000607,13
E02000608,20
E02000609,21
E02000610,13
E02000611,16
E02000612,16
E02000613,16
E02000614,20
E02000615,14
E02000616,13
E02000617,34
E02000619,11
E02000620,21
E02000621,22
E02000622,24
E02000623,9
E02000624,7
E02000625,16
E02000626,9
E02000627,11
E02000628,21
E02000629,12
E02000630,23
E02000631,23
E02000632,6
E02000633,24
E02000634,13
E02000635,24
E02000636,10
E02000637,7
E02000638,10
E02000639,16
E02000640,16
E02000641,13
E02000642,21
E02000643,16
E02000644,17
E02000645,25
E02000646,16
E02000647,20
E02000648,15
E02000649,29
E02000650,10
E02000651,16
E02000652,5
E02000653,17
E02000654,12
E02000655,9
E02000657,22
E02000658,12
E02000659,19
E02000660,14
E02000661,23
E02000662,16
E02000663,16
E02000664,42
E02000665,16
E02000666,23
E02000667,13
E02000668,11
E02000669,14
E02000670,11
E02000671,18
E02000672,33
E02000673,21
E02000674,17
E02000675,26
E02000676,7
E02000677,10
E02000678,10
E02000679,16
E02000680,23
E02000681,19
E02000682,22
E02000683,21
E02000685,20
E02000686,20
E02000687,17
E02000689,12
E02000690,19
E02000691,21
E02000692,19
E02000693,12
E02000694,12
E02000695,4
E02000696,11
E02000697,30
E02000698,19
E02000699,11
E02000700,8
E02000701,20
E02000702,25
E02000703,22
E02000704,32
E02000705,18
E02000706,18
E02000707,20
E02000708,15
E02000709,20
E02000710,46
E02000711,29
E02000712,23
E02000713,19
E02000714,7
E02000715,8
E02000716,11
E02000717,12
E02000718,3
E02000719,9
E02000720,7
E02000721,17
E02000722,9
E02000723,19
E02000724,4
E02000725,15
E02000726,40
E02000727,15
E02000729,11
E02000730,10
E02000731,14
E02000732,3
E02000733,10
E02000734,9
E02000735,7
E02000736,24
E02000737,12
E02000738,7
E02000739,17
E02000740,17
E02000741,18
E02000742,14
E02000743,19
E02000744,9
E02000745,9
E02000746,43
E02000747,34
E02000748,26
E02000749,19
E02000750,35
E02000751,25
E02000752,33
E02000753,18
E02000754,16
E02000755,13
E02000756,28
E02000757,20
E02000758,9
E02000759,33
E02000760,20
E02000762,9
E02000763,20
E02000764,28
E02000765,11
E02000767,16
E02000768,9
E02000769,16
E02000770,6
E02000772,25
E02000773,18
E02000774,5
E02000776,10
E02000777,19
E02000779,7
E02000780,26
E02000781,26
E02000782,9
E02000783,9
E02000784,24
E02000785,26
E02000786,28
E02000787,29
E02000788,14
E02000789,17
E02000790,8
E02000791,25
E02000792,13
E02000793,19
E02000794,22
E02000795,16
E02000796,25
E02000797,14
E02000798,33
E02000799,20
E02000800,8
E02000801,18
E02000802,17
E02000803,34
E02000804,20
E02000805,21
E02000806,44
E02000807,12
E02000808,34
E02000809,26
E02000810,16
E02000812,21
E02000813,24
E02000814,23
E02000815,13
E02000816,18
E02000817,14
E02000818,21
E02000819,11
E02000820,10
E02000821,12
E02000822,5
E02000823,17
E02000824,18
E02000825,7
E02000826,5
E02000827,22
E02000828,18
E02000829,13
E02000830,10
E02000831,8
E02000832,20
E02000833,14
E02000834,26
E02000835,24
E02000836,15
E02000837,41
E02000838,31
E02000839,38
E02000840,22
E02000841,24
E02000842,22
E02000843,17
E02000844,17
E02000845,9
E02000846,23
E02000847,12
E02000848,19
E02000849,16
E02000850,26
E02000851,29
E02000852,20
E02000853,13
E02000854,22
E02000855,19
E02000856,16
E02000857,16
E02000858,22
E02000859,20
E02000860,13
E02000861,21
E02000863,31
E02000864,22
E02000865,9
E02000866,21
E02000867,14
E02000868,8
E02000869,3
E02000870,6
E02000871,16
E02000872,6
E02000873,11
E02000874,11
E02000875,12
E02000876,10
E02000877,25
E02000878,16
E02000879,9
E02000880,7
E02000881,23
E02000882,9
E02000883,17
E02000884,8
E02000885,10
E02000886,9
E02000887,10
E02000888,15
E02000889,15
E02000890,16
E02000891,43
E02000893,14
E02000894,11
E02000895,38
E02000896,28
E02000897,15
E02000898,18
E02000899,15
E02000900,19
E02000901,17
E02000902,15
E02000903,25
E02000904,25
E02000905,12
E02000906,11
E02000907,23
E02000908,19
E02000909,19
E02000910,13
E02000911,31
E02000912,8
E02000913,21
E02000914,15
E02000915,22
E02000916,20
E02000917,9
E02000918,17
E02000919,12
E02000920,23
E02000921,13
E02000922,15
E02000923,12
E02000924,33
E02000925,6
E02000926,15
E02000927,10
E02000928,11
E02000929,12
E02000930,18
E02000931,6
E02000932,33
E02000933,14
E02000934,23
E02000935,14
E02000936,17
E02000937,18
E02000938,27
E02000939,13
E02000940,19
E02000941,17
E02000942,12
E02000943,14
E02000944,13
E02000945,27
E02000946,16
E02000947,8
E02000948,8
E02000949,14
E02000950,17
E02000951,10
E02000952,7
E02000953,10
E02000954,4
E02000955,4
E02000956,25
E02000957,20
E02000958,15
E02000959,12
E02000960,10
E02000961,12
E02000962,15
E02000963,7
E02000964,18
E02000965,5
E02000966,10
E02000967,21
E02000968,13
E02000969,14
E02000970,20
E02000971,19
E02000972,37
E02000973,8
E02000974,13
E02000975,13
E02000976,13
E02000977,53
E02000978,40
E02000979,34
E02000980,17
E02000981,7
E02000982,32
E02000983,12
E02006782,17
E02006783,20
E02006784,24
E02006785,16
E02006786,16
E02006787,24
E02006788,15
E02006789,84
E02006791,8
E02006792,35
E02006793,22
E02006794,12
E02006795,9
E02006796,23
E02006798,17
E02006799,24
E02006800,16
E02006801,46
E02006802,43
E02006836,18
E02006853,5
E02006854,22
E02006882,17
E02006918,15
E02006921,14
E02006924,26
E02006925,27
E02006927,33
E02006928,14
E02006929,34
E02006930,23
E02006931,27
